# Processed image data
# 32x32
  7,	  7,	 15,	  5,	 24,	 20,	 23,	 27,	198,	255,	255,	255,	255,	229,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	 34,	 27,	 24,	 17
  9,	  9,	 24,	  5,	 42,	 64,	 65,	 49,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	 84,	 39,	 37,	 14
 10,	  5,	 10,	 10,	 23,	 44,	 70,	133,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	 90,	 75,	 78,	 20
 23,	 17,	 15,	  5,	 35,	111,	162,	245,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	165,	 91,	 42,	 20
 17,	  9,	  9,	  9,	 29,	 99,	157,	250,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	155,	114,	 81,	 14
 14,	 19,	 31,	 19,	104,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	130,	117,	 55,	 19
  7,	 17,	 55,	 51,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	 56,	 49,	 34,	 12
 26,	 57,	 86,	179,	255,	255,	255,	 74,	 77,	117,	130,	205,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	151,	 66,	 53,	 50,	 27
 22,	 35,	 92,	251,	255,	255,	124,	 76,	 43,	 44,	 92,	 83,	187,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	170,	 43,	 38,	 38,	 12
 33,	 96,	250,	255,	 99,	123,	217,	 62,	 35,	 31,	 22,	 71,	 66,	107,	130,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	185,	128,	 31,	 14,	 27,	 19,	 26
